,,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,accuracy,macro avg,weighted avg,X
xho,precision,0.7227722772277227,0.7650273224043715,0.8888888888888888,0.0,0.7604790419161677,0.0,0.0,0.5142952127659575,0.9259259259259259,,0.6067415730337079,0.4776887871853547,0.9959704499664204,0.625,0.0,0.49326599326599324,0.5986255000512873,0.518403698172034,0.6190141466965384,
xho,recall,0.25886524822695034,0.3389830508474576,0.0547945205479452,0.0,0.7559523809523809,0.0,0.0,0.6668103448275862,0.25252525252525254,,0.5482233502538071,0.4765981735159817,0.9886666666666667,0.35714285714285715,0.0,0.548689138576779,0.5986255000512873,0.34981673227224425,0.5986255000512873,
xho,f1-score,0.381201044386423,0.46979865771812085,0.1032258064516129,0.0,0.7582089552238805,0.0,0.0,0.5807057057057058,0.39682539682539686,,0.576,0.4771428571428571,0.992305118768819,0.45454545454545453,0.0,0.5195035460992907,0.5986255000512873,0.38063083619117066,0.5886879858400359,
xho,support,564.0,413.0,146.0,6.0,336.0,52.0,2.0,2320.0,99.0,,394.0,1752.0,1500.0,28.0,1.0,2136.0,0.5986255000512873,9749.0,9749.0,
kin,precision,0.95,0.9255852842809364,0.842391304347826,0.0,0.9658823529411765,0.9302325581395349,,0.7871203599550056,0.9736842105263158,0.6956521739130435,0.7450753186558516,0.8096774193548387,0.9992464204973625,0.9005524861878453,0.0,0.6592526690391459,0.8066548881036514,0.6990220348649302,0.8157153972017357,0.0
kin,recall,0.17757009345794392,0.9796460176991151,0.6378600823045267,0.0,0.9867788461538461,0.9876543209876543,,0.7801003344481605,0.5381818181818182,0.8421052631578947,0.9155196962505933,0.34103260869565216,0.9954954954954955,0.9287749287749287,0.0,0.7746994249869316,0.8066548881036514,0.6178386831621601,0.8066548881036514,0.0
kin,f1-score,0.2992125984251969,0.9518486672398968,0.7259953161592506,0.0,0.976218787158145,0.9580838323353293,,0.7835946248600224,0.693208430913349,0.761904761904762,0.821550255536627,0.4799235181644359,0.997367431365175,0.9144460028050492,0.0,0.7123287671232877,0.8066548881036514,0.6297301871244079,0.7961420984291977,0.0
kin,support,214.0,1130.0,243.0,1.0,832.0,243.0,,3588.0,275.0,19.0,2107.0,1472.0,2664.0,351.0,14.0,3826.0,0.8066548881036514,16980.0,16980.0,1.0
pcm,precision,0.6035665294924554,0.9392020265991133,0.7839335180055401,0.8009153318077803,0.9789473684210527,0.9156729131175468,,0.7145095581322469,0.9614147909967846,0.6666666666666666,0.7917398945518453,0.5504252733900364,0.9796061884669479,0.7098515519568152,0.5483870967741935,0.7193062528525788,0.7870358220705944,0.777609664082107,0.7862098333133265,
pcm,recall,0.45081967213114754,0.9506410256410256,0.6596736596736597,0.8293838862559242,0.9763779527559056,0.8378799688230709,,0.7878369039391845,0.7531486146095718,0.8722466960352423,0.7753872633390706,0.4768421052631579,0.9985663082437276,0.8991452991452992,0.3090909090909091,0.7490494296577946,0.7870358220705944,0.7550726463069795,0.7870358220705944,
pcm,f1-score,0.5161290322580645,0.9448869066581714,0.7164556962025316,0.8149010477299186,0.9776609724047307,0.875050875050875,,0.7493837304847987,0.8446327683615819,0.7557251908396946,0.7834782608695653,0.5109983079526227,0.9889953851615193,0.7933634992458521,0.39534883720930236,0.7338766006984867,0.7870358220705944,0.7600591407418479,0.7839589836862547,
pcm,support,976.0,1560.0,429.0,844.0,381.0,1283.0,,2894.0,397.0,227.0,1162.0,950.0,1395.0,585.0,55.0,2104.0,0.7870358220705944,15242.0,15242.0,
twi,precision,0.7134831460674157,0.7294117647058823,0.5902712815715622,0.7155555555555555,0.5771905424200278,0.8876464323748668,0.0,0.7117945466074825,0.9130434782608695,0.0,0.7963446475195822,0.450530035335689,0.988458927359131,0.0,0.0,0.6834645669291338,0.7380370241005938,0.5473246827942,0.7399924130162402,
twi,recall,0.26849894291754756,0.8406779661016949,0.7042410714285714,0.38424821002386633,0.6859504132231405,0.8575102880658436,0.0,0.7468396540252827,0.5283018867924528,0.0,0.6823266219239373,0.4748603351955307,0.9952153110047847,0.0,0.0,0.7336037863421231,0.7380370241005938,0.49389215544029846,0.7380370241005938,
twi,f1-score,0.3901689708141321,0.7811023622047243,0.642239185750636,0.5,0.6268882175226586,0.8723181580324438,0.0,0.7288961038961039,0.6693227091633467,0.0,0.7349397590361445,0.46237533998186764,0.9918256130790191,0.0,0.0,0.7076471547366705,0.7380370241005938,0.5067327233886092,0.7323019596128556,
twi,support,473.0,885.0,896.0,419.0,605.0,1944.0,3.0,3006.0,159.0,28.0,894.0,537.0,1463.0,44.0,1.0,2958.0,0.7380370241005938,14315.0,14315.0,
fon,precision,0.8730277986476334,0.7039059218815624,0.7183098591549296,0.9363057324840764,0.9375,0.9462669683257918,,0.8249412992434124,0.9057017543859649,0.7655172413793103,0.8212589073634204,0.8238434163701067,0.9989528795811519,0.7878787878787878,,0.724009324009324,0.8197970824289537,0.840529992193248,0.8221693417594529,
fon,recall,0.885670731707317,0.7448888888888889,0.5436046511627907,0.5719844357976653,0.896414342629482,0.9642651296829972,,0.8303571428571429,0.7911877394636015,0.3323353293413174,0.9165009940357853,0.5744416873449132,0.9968652037617555,0.26,,0.8327077747989277,0.8197970824289537,0.7243731465337561,0.8197970824289537,
fon,f1-score,0.8793038214150585,0.723817749946016,0.6188637617209046,0.7101449275362319,0.9164969450101832,0.9551812731944047,,0.8276403612092658,0.8445807770961146,0.4634655532359082,0.8662699655496399,0.6769005847953217,0.997907949790795,0.39097744360902253,,0.7745635910224439,0.8197970824289537,0.7604367646522366,0.8156607104628119,
fon,support,1312.0,2250.0,1032.0,257.0,502.0,1735.0,,3808.0,522.0,334.0,1509.0,806.0,1914.0,100.0,,3730.0,0.8197970824289537,19811.0,19811.0,
zul,precision,0.8392857142857143,0.5,0.5127737226277372,0.5,0.855072463768116,0.7272727272727273,0.0,0.584573748308525,0.9032258064516129,,0.7794117647058824,0.5514705882352942,0.9992967651195499,0.890625,1.0,0.5656686626746507,0.6512031216128333,0.6694618400528645,0.6651041645335798,0.5027124773960217
zul,recall,0.16785714285714284,0.011627906976744186,0.5499021526418787,0.030303030303030304,0.5221238938053098,0.6575342465753424,0.0,0.7021535960991467,0.2641509433962264,,0.4649122807017544,0.40540540540540543,0.9950980392156863,0.8636363636363636,0.8571428571428571,0.5933835845896147,0.6512031216128333,0.487839918577032,0.6512031216128333,0.7202072538860104
zul,f1-score,0.27976190476190477,0.022727272727272724,0.5306893295561851,0.05714285714285715,0.6483516483516484,0.6906474820143884,0.0,0.6379915082148792,0.4087591240875912,,0.5824175824175823,0.4672897196261683,0.9971929824561404,0.8769230769230768,0.923076923076923,0.5791947680359696,0.6512031216128333,0.5183928409511208,0.6411815642992073,0.5921192758253461
